"","project","obs","normalityLeft","normalityRight","kendallTau","kendallPValue","spearmanRho","spearmanPValue","pearsonCor","pearsonPValue"
"tau","all",25319,2.65444919760597e-65,3.08954042208008e-79,0.169202988811238,3.03096153599182e-245,0.193653068151066,1.91593654981873e-212,0.217383208962042,1.72301412233157e-268
"tau1","spring-cloud-azure",113,2.62405740963575e-08,1.89852577887949e-09,0.105246698278966,0.121657982222338,0.158422910905411,0.0937508080288562,0.342353364062943,0.000205942541012664
"tau2","hibernate-ogm",719,7.86661252150758e-17,1.61147109009083e-34,-0.0950288856955253,0.000865951451214695,-0.132739127624856,0.000358481173333618,-0.0841990369211477,0.0239575121748844
"1","javaparser",252,0,0,0,0,0,0,0,0
"tau3","compile-testing",128,0.000126412084276709,6.87341771909543e-15,0.216077278065171,0.001578880542859,0.278799970036471,0.0014387990789332,0.173952172126168,0.0495606556289796
"tau4","hibernate-search",2474,1.34076990327516e-26,6.90058951029647e-57,-0.0328698406560636,0.0263743544044924,-0.0485045319253161,0.0158312262361434,0.0790840961956517,8.22424543535601e-05
"tau5","jbehave-core",559,5.69658454214508e-19,3.9007294619311e-30,0.349558202473888,9.47914690318497e-29,0.445365647984634,1.36992521702518e-28,0.393430903612361,3.88828245629278e-22
"tau6","ambrose",8,0.19810918508575,0.000295733816759316,0.334496804002836,0.286886082095888,0.405355673550512,0.319110684007083,0.499083974127417,0.207998550785785
"tau7","Git-Credential-Manager-for-Mac-and-Linux",17,0.000493241099564604,0.000505465128996217,-0.359414148303951,0.0880540911800224,-0.416630545389928,0.0961888981434948,-0.164916836915903,0.527039940234171
"tau8","error-prone",1974,3.77892561225642e-58,1.63464656785458e-57,-0.0161497488652743,0.403364437614428,-0.0178782218142929,0.42726256140802,0.115073878848532,2.95178475055547e-07
"tau9","nanohttpd",124,2.25027726647877e-07,8.16012266289919e-10,-0.18634756030376,0.00760085693150798,-0.231392352668363,0.00971609054142967,-0.239167397547739,0.00746792992472457
"tau10","spring-data-cosmosdb",107,0.00336682090295591,1.29697778362119e-10,0.373619542607499,8.46526653867058e-07,0.478034939810568,1.91732972845151e-07,0.379605611402097,5.51699954604724e-05
"tau11","lavagna",277,1.33000761126194e-13,7.6345253939372e-17,0.0778794143372525,0.0848430023061685,0.0962906408143522,0.109805838056112,0.0213649818839661,0.723326429986579
"11","Nodes",10,0,0,0,0,0,0,0,0
"tau12","jimfs",185,4.29528609045759e-11,1.49855778357818e-10,0.339558203350846,3.48893442641041e-09,0.442752738679585,2.78135309637344e-10,0.416201078610736,3.81304821559139e-09
"12","gson",10,0,0,0,0,0,0,0,0
"tau13","closure-templates",1176,7.62464372274408e-34,2.41465453695159e-44,0.157189120611154,2.07148499802004e-12,0.203973286542567,1.64411154281667e-12,0.196328864861365,1.10804029381959e-11
"tau14","initializr",738,2.06660156182391e-25,7.80710207657422e-25,-0.0387322063036886,0.171432915552546,-0.0516163836502331,0.161281171810103,0.0535275077050303,0.146303381471723
"tau15","hbc",49,0.00198793460133295,2.46977032885898e-06,-0.103632649427665,0.367726090547333,-0.132572077759854,0.363843942015909,-0.0889880319145071,0.543158479429254
"13","optaplanner-core",359,0,0,0,0,0,0,0,0
"tau16","greenmail",85,1.11198831116028e-05,7.07803768781579e-07,-0.0272628646331226,0.734202225514255,-0.0370894678895845,0.736116164600511,0.086836336200711,0.429392333620887
"tau17","closure-compiler",14204,3.25945059174365e-73,3.09446399410076e-83,0.315415294820619,0,0.352962223964873,0,0.381081077798309,0
"tau18","governator",120,1.87357144965052e-09,3.30354175779961e-16,0.125804105771023,0.0805717155132441,0.159280209747609,0.0822679227818009,0.191481763049088,0.0361666032298934
"tau19","truth",875,6.66324925615456e-27,5.50486069471835e-29,0.0339154182754531,0.190377549128742,0.0454818406678833,0.178902027729736,-0.000724450951268659,0.982927437350244
"tau20","jbot",2,0,0,-1,NA,0,0,0,0
"tau21","docx4j",78,7.0299191232378e-12,2.08707371473663e-14,-0.243162037163773,0.0131230548214789,-0.281690255646142,0.0124730136826041,-0.00236346835703921,0.983615312171567
"tau22","shopizer",29,7.71229325952395e-07,1.68941614472332e-06,0.468365130489494,0.00142504020950032,0.597561265155702,0.000619602999306743,0.577695384824219,0.00103189734398865
"tau23","spring-data-gremlin",102,0.000113535717975668,1.31129787639212e-10,-0.0752895034024645,0.320855289726339,-0.122336157965107,0.220607578139463,0.0494689920619622,0.621477586680449
"14","open-location-code",2,0,0,0,0,0,0,0,0
"tau24","ion-java",225,3.94493348119834e-07,1.69171549288363e-19,-0.185780422163221,0.000832671492529134,-0.219456340957655,0.000919707907240257,-0.127129322456283,0.0569035088110512
"15","protostuff-core",21,0,0,0,0,0,0,0,0
"tau25","GraphJet",84,1.1757270523285e-09,1.96662757148714e-12,0.107997431766149,0.223487649319285,0.148384388206323,0.177961485144247,0.505921498850981,9.14581707045707e-07
"tau26","objenesis",19,0.143012577726126,0.00034941073502196,0.359631386922253,0.0768280498721911,0.403307905096775,0.0868526614556613,0.473123303310205,0.0407652332072534
"tau27","google-java-format",100,5.18295820302133e-08,3.76420253544368e-11,0.168082714023713,0.036484168691707,0.210336336800492,0.0356868358413509,0.333671247413549,0.000692487272447165
"tau28","hraven",66,3.87365983154201e-07,8.31743878797575e-06,0.0137587446067738,0.879403109316386,0.00825500710108674,0.947550014783587,0.139896748671605,0.262572608729414
"tau29","guice",6,0.248526142434558,0.0452903917325371,0.617213399848368,0.106279144966816,0.727606875108999,0.101191507218295,0.645716893329296,0.166040588244379
"tau30","javaanpr",22,0.000188815584592804,8.10987881211156e-06,0.63031506944832,0.000612140135468764,0.693823579249717,0.000341862772637873,0.822212056157284,2.67296688040849e-06
